Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Fletcher's	100	1	1	1		15				3	300	skilltab	0	1	1										armo	weap											0	0
Bowyer's	100	1	1	40		30				2	300	skilltab	0	2	2										armo	weap											0	0
Archer's	100	1		60		45				1	300	skilltab	0	3	3										armo	weap											0	0
Acrobat's	100	1	1	1		15				3	301	skilltab	1	1	1										armo	weap											0	0
Gymnast's	100	1	1	40		30				2	301	skilltab	1	2	2										armo	weap											0	0
Athlete's	100	1		60		45				1	301	skilltab	1	3	3										armo	weap											0	0
Harpoonist's	100	1	1	1		15				3	302	skilltab	2	1	1	oskill	CharmSkill	1	1						armo	weap											0	0
Spearmaiden's	100	1	1	40		30				2	302	skilltab	2	2	2	oskill	CharmSkill	1	1						armo	weap											0	0
Lancer's	100	1		60		45				1	302	skilltab	2	3	3	oskill	CharmSkill	1	1						armo	weap											0	0
Acrobat's	100	1	1	1		15				3	302	skilltab	1	1	1	oskill	CharmSkill	1	1						armo	weap											0	0
Gymnast's	100	1	1	40		30				2	302	skilltab	1	2	2	oskill	CharmSkill	1	1						armo	weap											0	0
Athlete's	100	1		60		45				1	302	skilltab	1	3	3	oskill	CharmSkill	1	1						armo	weap											0	0
of the Jackal	100	1	1	1		3				6	303	hp		1	5	oskill	CharmSkill	1	1						armo	weap											0	0
of the Fox	100	1	1	11		8				5	303	hp		6	10	oskill	CharmSkill	1	1						armo	weap											0	0
of the Wolf	100	1	1	27		20				4	303	hp		11	20	oskill	CharmSkill	1	1						armo	weap											0	0
of the Tiger	100	1	1	43		35				3	303	hp		21	30	oskill	CharmSkill	1	1						armo	weap											0	0
of the Mammoth	100	1	1	59		51				2	303	hp		31	40	oskill	CharmSkill	1	1						armo	weap											0	0
of the Colossus	100	1		75		67				1	303	hp		41	60	oskill	CharmSkill	1	1						armo	weap											0	0
Lizard's	100	1	1	3		2				4	303	mana		1	5	oskill	CharmSkill	1	1						armo	weap											0	0
Snake's	100	1	1	12		9				3	303	mana		5	10	oskill	CharmSkill	1	1						armo	weap											0	0
Serpent's	100	1	1	23		16				2	303	mana		11	20	oskill	CharmSkill	1	1						armo	weap											0	0
Drake's	100	1	1	34		26				2	303	mana		21	30	oskill	CharmSkill	1	1					cblu	armo	weap											0	0
Dragon's	100	1	1	45		37				1	303	mana		31	40	oskill	CharmSkill	1	1					cblu	armo	weap											0	0
Wyrm's	100	1	1	56		48				1	303	mana		41	60	oskill	CharmSkill	1	1					cblu	armo	weap											0	0
Great Wyrm's	100	1		67		59				1	303	mana		61	80	oskill	CharmSkill	1	1					cblu	armo	weap											0	0
Shimmering	100	1	1	1		3				8	304	res-all		5	10	smite		6	6						armo	weap											0	0
Rainbow	100	1	1	18		13				7	304	res-all		8	15	smite		6	6						armo	weap											0	0
Scintillating	100	1	1	28		21				6	304	res-all		16	30	smite		6	6						armo	weap											0	0
Prismatic	100	1	1	39		31				5	304	res-all		25	35	smite		6	6						armo	weap											0	0
Chromatic	100	1		50		42				4	304	res-all		35	45	smite		6	6						armo	weap											0	0
Sharp	100	1	1	10		5				3	304	att		15	30	dmg%		10	20	smite		6	6		armo	weap											0	0
Fine	100	1	1	18		13				3	304	att		31	60	dmg%		21	30	smite		6	6		armo	weap											0	0
Warrior's	100	1	1	30		23				2	304	att		61	80	dmg%		31	40	smite		6	6		armo	weap											0	0
Soldier's	100	1	1	42		34				2	304	att		81	100	dmg%		41	50	smite		6	6		armo	weap											0	0
Knight's	100	1	1	50		42				2	304	att		101	121	dmg%		51	65	smite		6	6	dgld	armo	weap											0	0
of Blight	100	1	1	1		3				8	305	dmg-pois	75	24	24	skilltab	8	0	1						armo	weap											0	0
of Venom	100	1	1	30		11				6	305	dmg-pois	75	48	48	skilltab	8	0	2						armo	weap											0	0
of Pestilence	100	1	1	32		18				2	305	dmg-pois	100	72	72	skilltab	8	1	2						armo	weap											0	0
of Anthrax	100	1		45		25				1	305	dmg-pois	100	128	128	skilltab	8	1	3						armo	weap											0	0
of Replenishment	100	1	1	1		0				1	306	noconsume		100	100										misl												0	0
of Replenishment	100	1	1	1		0				1	306	rep-quant	100												book	key											0	0
of SocketsX	100	1	1	1						30	307	rep-quant	100												comb												0	0
of Sockets0	100	1	1	1						10	307	rep-quant	100			sock		0	0						comb												0	0
of Sockets1	100	1	1	1						3	307	rep-quant	100			sock		0	1						comb												0	0
of Sockets2	100	1	1	1						2	307	rep-quant	100			sock		0	2						comb												0	0
of Sockets3	100	1	1	1						1	307	rep-quant	100			sock		0	3						comb												0	0
os Sockets4	100	1	1	15						1	307	rep-quant	100			sock		0	4						comb												0	0
of SocketsXA	100	1	1	1						30	308	skilltab	2	1	1	rep-quant	100								comb												0	0
of Sockets0A	100	1	1	1						10	308	sock		0	0	skilltab	2	1	1	rep-quant	100				comb												0	0
of Sockets1A	100	1	1	1						3	308	sock		0	1	skilltab	2	1	1	rep-quant	100				comb												0	0
of Sockets2A	100	1	1	1						2	308	sock		0	2	skilltab	2	1	1	rep-quant	100				comb												0	0
of Sockets3A	100	1	1	1						1	308	sock		0	3	skilltab	2	1	1	rep-quant	100				comb												0	0
of SocketsXB	100	1	1	1						30	308	skilltab	2	2	2	rep-quant	99								comb												0	0
of Sockets0B	100	1	1	1						10	308	sock		0	0	skilltab	2	2	2	rep-quant	100				comb												0	0
of Sockets1B	100	1	1	1						3	308	sock		0	1	skilltab	2	2	2	rep-quant	100				comb												0	0
of Sockets2B	100	1	1	1						2	308	sock		0	2	skilltab	2	2	2	rep-quant	100				comb												0	0
of Sockets3B	100	1	1	1						1	308	sock		0	3	skilltab	2	2	2	rep-quant	100				comb												0	0
of SocketsXC	100	1	1	1						30	308	skilltab	2	3	3	rep-quant	100								comb												0	0
of Sockets0C	100	1	1	1						10	308	sock		0	0	skilltab	2	3	3	rep-quant	100				comb												0	0
of Sockets1C	100	1	1	1						3	308	sock		0	1	skilltab	2	3	3	rep-quant	100				comb												0	0
of Sockets2C	100	1	1	1						2	308	sock		0	2	skilltab	2	3	3	rep-quant	100				comb												0	0
of Sockets3C	100	1	1	1						1	308	sock		0	3	skilltab	2	3	3	rep-quant	100				comb												0	0
splash	100	1	1	1						1	309	splash	Splash	100	1										weap												0	0
of Double Strike1	100	1	1	1	15					1	310	oskill	Double Strike	1	2	oskill	CharmSkill	1	1						xbow												0	0
of Double Strike2	100	1	1	1	22					1	310	oskill	Double Strike	1	3	oskill	CharmSkill	1	1						xbow												0	0
of Double Strike3	100	1	1	1	59					1	310	oskill	Double Strike	2	4	oskill	CharmSkill	1	1						xbow												0	0
of Double Strike4	100	1	1	60						1	310	oskill	Double Strike	3	5	oskill	CharmSkill	1	1						xbow												0	0
of Treasure	100	1	1	1						1	311	treasure		1	6										CHST												0	0
of Incant Duration1	100	1	1	1	85					18	312	incant-dur		1	3	oskill	CharmSkill	1	1						wand												0	0
of Incant Duration2	100	1	1	12	85					12	312	incant-dur		1	5	oskill	CharmSkill	1	1						wand												0	0
of Incant Duration3	100	1	1	24						10	312	incant-dur		3	7	oskill	CharmSkill	1	1						wand												0	0
