description	*Category	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
																																																																																																										0
																																																																																																										0
---Admin Recipes---																																																																																																										0
Test 1						100					2	tsc,qty=2							a66,uni	99																																																																																						0
Test 1						100	18	377	0		2	Annihilus	isc						useitem	99			allskills			1	1	RW-Tracker			1	1																																																																										0
Test 2						100					1	tsc							MegaCharm	99																																																																																						0
Test 3						100					1	isc							rin,rar	99																												rin,mag	99																												Hellfire Torch	99																												0
																																																																																																										0
																																																																																																										0
---Protect Uniques---																																																																																																										0
Protect Quest Unique 1		1				100					2	Z01	Amulet of the Viper						useitem																													Amulet of the Viper	99																																																									0
Protect Quest Unique 2		1				100					2	Z01	Staff of Kings						useitem																													Staff of Kings	99																																																									0
Protect Quest Unique 3		1				100					3	Z01	Staff of Kings	Amulet of the Viper					useitem																													Staff of Kings	99																												Amulet of the Viper	99																												0
Protect Quest Unique 4		1				100					3	Z01	Amulet of the Viper	Staff of Kings					useitem																													Staff of Kings	99																												Amulet of the Viper	99																												0
Protect Quest Unique 5		1				100					2	Z01	KhalimFlail						useitem																													KhalimFlail	99																																																									0
Protect Quest Unique 6		1				100					2	Z01	Horadric Staff						useitem																													Horadric Staff	99																																																									0
Protect Quest Unique 7		1				100					2	Z01	Hell Forge Hammer						useitem																													Amulet of the Viper	99																																																									0
Protect Quest Unique 8		1				100					2	Z01	SuperKhalimFlail						useitem																													Staff of Kings	99																																																									0
Protect Quest Unique 8		1				100					2	Z01	hdm						useitem																													hdm	99																																																									0
																																																																																																										0
																																																																																																										0
--Trial Charms--																																																																																																										0
Combine Charm 1		1				100					7	a10	a11	a12	a13	a14	a15	a16	a59	99																																																																																						0
Combine Charm 2		1				100					7	a17	a18	a19	a20	a21	a22	a23	a60	99																																																																																						0
Combine Charm 3		1				100					7	a24	a25	a26	a27	a28	a29	a30	a61	99																																																																																						0
Combine Charm 4		1				100					7	a31	a32	a33	a34	a35	a36	a37	a62	99																																																																																						0
Combine Charm 5		1				100					7	a38	a39	a40	a41	a42	a43	a44	a63	99																																																																																						0
Combine Charm 6		1				100					7	a45	a46	a47	a48	a49	a50	a51	a64	99																																																																																						0
Combine Charm 7		1				100					7	a52	a53	a54	a55	a56	a57	a58	a65	99																																																																																						0
Combine Deckard's Charm		1				100					7	a59	a60	a61	a62	a63	a64	a65	a66	99																																																																																						0
																																																																																																										0
																																																																																																										0
--Kill Tracker--																																																																																																										0
Add Charm Weights						100					2	scha	yps						useitem	99			Weight-Tracker			1	1																																																																															0
Add Charm Weights						100					2	mcha	yps						useitem	99			Weight-Tracker			2	2																																																																															0
Add Charm Weights						100					2	lcha	yps						useitem	99			Weight-Tracker			3	3																																																																															0
Add Charm Weights						100					2	weap	yps						useitem	99			oskill		653	1	1																																																																															0
Pandemonium Portals - Unlock		1				100					2	MegaCharm	a06						useitem	99																												a06,nor	99			portals			1	1																																																		0
Pandemonium Portals - Triumph		1				100	18	387	1		1	a06							useitem	99																												Pandemonium Finale Portal																																																										0
