Stat	*ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	advdisplay	*eol
strength	0	1		11			1	0	10			1	1		75	18		7	32	8	32																67	19		ModStr1a	ModStr1a		1	19		Moditem2allattrib	Moditem2allattrib		6		0
energy	1			11			1	0	10			1	1		60	18		7	32	7	32			8			maxmana										61	19		ModStr1d	ModStr1d		1	19		Moditem2allattrib	Moditem2allattrib				0
dexterity	2	1		11			1	0	10			1	1		75	18		7	32	7	32																65	19		ModStr1b	ModStr1b		1	19		Moditem2allattrib	Moditem2allattrib				0
vitality	3			11			1	0	10			1	1		60	18		7	32	7	32			9			maxhp	maxstamina									63	19		ModStr1c	ModStr1c		1	19		Moditem2allattrib	Moditem2allattrib				0
statpts	4			9			1	0	10						0	0																																			0
newskills	5			9			1	0	8						0	0																																			0
hitpoints	6			32			1	0	21						0	0	8													1	maxhp																				0
maxhp	7			32			1	0	21		1	1	1		34	7	8	8	32	9	32																59	19		ModStr1u	ModStr1u										0
mana	8			32			1	0	21						0	0	8						1							1	maxmana																				0
maxmana	9			32			1	0	21		1	1	0		49	7	8	8	32	8	32																55	19		ModStr1e	ModStr1e										0
stamina	10			32			1	0	21						0	0	8						1							1	maxstamina																				0
maxstamina	11			32			1	0	21		1	1	0		45	7	8	8	32	8	32																51	19		ModStr5d	ModStr5d										0
level	12			9			1	0	7						0	0																																			0
experience	13			32			1	0	32						0	0																																			0
gold	14			32			1	0	25						0	0																																			0
goldbank	15			32			1	0	25						0	0																																			0
item_armor_percent	16		1	11											28	7		9	0	9	0			13			armorclass										74	19		Modstr2v	Modstr2v										0
item_maxdamage_percent	17		1	11											27	7		9	0	9	0			13			maxdamage	secondary_maxdamage	item_throw_maxdamage			1					129	19		ModStr2j	ModStr2j										0
item_mindamage_percent	18		1	11											27	7		9	0	9	0			13			mindamage	secondary_mindamage	item_throw_mindamage			1					130	19		ModStr2k	ModStr2k										0
tohit	19		1	16											9	3		10		12	200											1					115	19		ModStr1h	ModStr1h										0
toblock	20		1	10											53	20		6	0	8	80																134	19		ModStr3g	ModStr3g										0
mindamage	21		1	16											73	8		6	0	6	1											1					127	19		ModStr1g	ModStr1g										0
maxdamage	22		1	16											56	5		7	0	7	4											1					126	19		ModStr1f	ModStr1f										0
secondary_mindamage	23		1	16											58	5		6	0	6	0											1					124	19		ModStr1g	ModStr1g										0
secondary_maxdamage	24		1	16											51	4		7	0	7	0											1					123	19		ModStr1f	ModStr1f										0
damagepercent	25		1	12											27	13		8	0	8	0											1																			0
manarecovery	26														0	0		8	0	8	0																														0
manarecoverybonus	27		1	16											0	0		8	0	12	200																52	19		ModStr4g	ModStr4g									2	0
staminarecoverybonus	28		1	16											0	0		8	0	8	40																48	19		ModStr3v	ModStr3v										0
lastexp	29			32											0	0																																			0
nextexp	30			32											0	0																																			0
armorclass	31		1	16											10	3		10	10	11	10																71	19		ModStr1i	ModStr1i										0
armorclass_vs_missile	32		1	16											7	2		8	0	9	0																69	19		ModStr6a	ModStr6a									2	0
armorclass_vs_hth	33		1	16											8	2		8	0	8	0																70	19		ModStr6b	ModStr6b									2	0
normal_damage_reduction	34		1	10											113	20		6	0	6	5																22	19		ModStr2u	ModStr2u	ModStr2un								2	0
magic_damage_reduction	35		1	10											238	20		6	0	6	5																21	19		ModStr2t	ModStr2t									2	0
damageresist	36		1	9											91	20		9	200	9	200																22	19		ModStr2uPercent	ModStr2uPercent									2	0
magicresist	37		1	9											98	20		9	200	9	200																41	19		ModStr1m	ModStr1m									2	0
maxmagicresist	38		1	9											655	20		5	0	5	16																46	19		ModStr5x	ModStr5x									2	0
