Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Health	0	1	1	7		5					1	red-dmg		1	1										tors	helm	shld	ring	amul								0	0
of Protection	0	1	1	18		13					1	red-dmg		2	2										ring	amul											0	0
of Absorption	0	1	1	26		19					1	red-dmg		3	3										amul												0	0
of Life	0	1	1	35		26					1	red-dmg		4	4									dblu	amul												0	0
of Health	1	1	1	7		5				4	1	red-dmg		1	1										tors	shld	ring	amul	circ	misl							0	0
of Protection	1	1	1	18		13				4	1	red-dmg		2	2										ring	amul	circ	misl									0	0
of Absorption	1	1	1	26		19				4	1	red-dmg		3	3										amul	circ	misl										0	0
of Life	1	1	1	35		26				4	1	red-dmg		4	4									dblu	amul	circ	misl										0	0
of Life Everlasting	100	1		45		37				4	1	red-dmg		10	25										amul	circ											0	0
of Protection	1	1	1	24		18				4	1	red-dmg		2	2										tors	shld	circ										0	0
of Absorption	1	1	1	32		24				4	1	red-dmg		3	3										tors	shld	circ										0	0
of Life	1	1	1	41		33				4	1	red-dmg		4	7										tors	shld	circ										0	0
of Anima	100	1		51		43				4	1	red-dmg		8	15										tors	shld	circ										0	0
of Warding	0	1	1	7		5					2	red-mag		1	1										tors	helm	shld	ring	amul								0	0
of the Sentinel	0	1	1	18		13					2	red-mag		2	2										ring	amul											0	0
of Guarding	0	1	1	26		19					2	red-mag		3	3										amul												0	0
of Negation	0	1	1	35		26					2	red-mag		4	4										amul												0	0
of Warding	1	1	1	7		5				4	2	red-mag		1	1										tors	shld	ring	amul	orb	circ	xbow						0	0
of the Sentinel	1	1	1	18		12				4	2	red-mag		2	2										ring	amul	orb	circ	xbow								0	0
of Guarding	1	1	1	26		19				4	2	red-mag		3	3										amul	orb	circ	xbow									0	0
of Negation	100	1		42		35				4	2	red-mag		4	6										amul	orb	circ	xbow									0	0
of the Sentinel	1	1	1	24		18				4	2	red-mag		2	2										tors	shld	circ										0	0
of Guarding	1	1	1	32		24				4	2	red-mag		3	3										tors	shld	circ										0	0
of Negation	100	1		41		33				4	2	red-mag		4	6										tors	shld	circ										0	0
of Piercing	0	1	1	25		18					3	ignore-ac		1	1										rod	misl											0	0
of Coolness	100	1	1	11		8				1	3	abs-fire		2	2										xbow	parm	cloa										0	0
of Incombustibility	100	1	1	19		14				1	3	abs-fire		3	3										xbow	parm	cloa										0	0
of Amianthus	100	1	1	28		21				1	3	abs-fire		4	5										xbow	parm	cloa										0	0
of Fire Quenching	100	1		38		30				1	3	abs-fire		6	8										xbow	parm	cloa										0	0
of Coolness	100	1	1	13		9				1	3	abs-fire		2	2										xbow	parm	cloa										0	0
of Incombustibility	100	1	1	22		16				1	3	abs-fire		3	3										xbow	parm	cloa										0	0
