pet type	group	basemax	warp	range	partysend	unsummon	automap	name	drawhp	icontype	baseicon	mclass1	micon1	mclass2	micon2	mclass3	micon3	mclass4	micon4
none																			
single		1	1		1		1												
valkyrie		0	1		1	1	1	StrUI4	1	2	valkarieicon								
igolem		0	1		1	1	1	StrUI0	1	2	metalgolumicon								
skeleton		1	1		1	1	1	StrUI1	1	2	skeletonicon								
skeletonmage		1	1		1	1	1	StrUI2	1	2	skeletonmageicon								
revive		0	1		1	1	1	StrUI3	1	2	revivedicon								
hireable		1	1		1		1		1		rogueicon	338	act2hireableicon	359	act3hireableicon	561	barbhirable_icon	560	barbhirable_icon
dopplezon		0				1	1		1										
invis		0	1																
raven		0	1					strUI5		2	raven								
spiritwolf		0	1		1	1	1	strUI6	1	2	wolf								
fenris		0	1		1	1	1	UIFenirsui	1	2	wolf								
totem		0	1		1	1	1	strUI14	1	1	oaksage	423	heartofwolverine	422	spiritofbarbs				
vine		0	1		1	1	1	strUI13		2	plaguepoppy	427	vines						
grizzly		0	1		1	1	1	strUI7	1	2	bear								
shadowwarrior		0	1		1	1	1	UiShadowUI	1	1	shadowassassin								
assassintrap		0		1				SinTrap		2	sintrap								
pettrap		0		1															
hydra		0		1															
abominable		0	1		1	1	1	Abominable	1	2	abominable	740							
cgolem		0	1		1	1	1	StrUI0	1	2	earthgolumicon								
skeletonarcher		0	1		1	1	1	StrArch	1	2	skeletonicon								
battlebrother		0	1		1	1	1	UiBrotherUi	1	1	barbhirable_icon								
conctrap		0		1															
faithfulfollower		0	1		1	1	1	UiFollowerUi	1	1	paladinicon								
amasum		0	1		1	1	1	UiAmaUi	1	1	amazonicon								
sorsum		0	1		1	1	1	UiSorUi	1	1	sorceressicon								
necsum		0	1		1	1	1	UiNecUi	1	1	necromancericon								
palsum		0	1		1	1	1	UiPalUi	1	1	paladinicon								
barsum		0	1		1	1	1	UiBarUi	1	1	barbarianicon								
drusum		0	1		1	1	1	UiDruUi	1	1	druidicon								
asssum		0	1		1	1	1	UiAsnUi	1	1	assassinicon								
arachpet		0	1		1	1	1	UiArachUi	1	1	vines								
shroom		0	1		1	1	1	UiShroom		2	cycleoflife								
shrub		0	1		1	1	1	strUIShrub	1	2	heartofwolverine								
fgolem		0	1		1	1	1	StrUI0	1	2	firegolumicon								
bgolem		0	1		1	1	1	StrUI0	1	2	bloodgolumicon								
draconis		0	1		1	1	1	StrUIDraconis	1	2	revivedicon								
glmapp		0	1		1	1	1	StrUIApp	1	2	valkarieicon								
updraft		0		1															
assassinblade		0		1				SinBlade		2	sinblade								
judgetrap		0		1															
helper		0	1					MiniDiabloIcon		1	minid								
commander		0	1		1	1	1	SkCommander	1	2	skeletonicon								
