code	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
str	1	1	strength																											+# to Strength		Min #	Max #		0
dex	1	1	dexterity																											+# to Dexterity		Min #	Max #		0
vit	1	1	vitality																											+# to Vitality		Min #	Max #		0
enr	1	1	energy																											+# to Energy		Min #	Max #		0
all-stats	1	1	strength			3	energy			3	dexterity			3	vitality															+# to all Attributes		Min #	Max #		0
mana	1	1	maxmana																											+# to Mana		Min #	Max #		0
hp	1	1	maxhp																											+# to Life		Min #	Max #		0
stam	1	1	maxstamina																											+# Maximum Stamina		Min #	Max #		0
ac%	1	2	item_armor_percent																											+#% Enhanced Defense		Min %	Max %		0
att	1	1	tohit																											+# to Attack Rating		Min #	Max #		0
block	1	1	toblock																											#% Increased Chance of Blocking		Min %	Max %		0
dmg-min	1	5																												+# to Minimum Damage		Min #	Max #		0
dmg-max	1	6																												+# to Maximum Damage		Min #	Max #		0
dmg-norm	1	15	mindamage			16	maxdamage																							Adds #-# Damage		Min #	Max #		0
dmg-norm-2h	1	15	secondary_mindamage			16	secondary_maxdamage																							Adds #-# Damage		Min #	Max #		0
dmg%	1	7																												+#% Enhanced Damage		Min %	Max %		0
regen-stam	1	1	staminarecoverybonus																											Heal Stamina Plus #%		Min %	Max %		0
regen-mana	1	1	manarecoverybonus																											Regenerate Mana #%		Min %	Max %		0
ac	1	1	armorclass																											+# Defense		Min #	Max #		0
ac-miss	1	1	armorclass_vs_missile																											+# Defense vs. Missile		Min #	Max #		0
ac-hth	1	1	armorclass_vs_hth																											+# Defense vs. Melee		Min #	Max #		0
red-dmg	1	1	normal_damage_reduction																											Damage Reduced by #		Min #	Max #		0
red-mag	1	1	magic_damage_reduction																											Magic Damage Reduced by #		Min #	Max #		0
red-dmg%	1	1	damageresist																											Damage Reduced by #%		Min %	Max %		0
res-mag	1	1	magicresist																											Magic Resist +#%		Min %	Max %		0
res-mag-max	1	1	maxmagicresist																											+#% to Maximum Magic Resist		Min %	Max %		0
res-fire	1	1	fireresist																											Fire Resist +#%		Min %	Max %		0
res-fire-max	1	1	maxfireresist																											+#% to Maximum Fire Resist		Min %	Max %		0
res-ltng	1	1	lightresist																											Lightning Resist +#%		Min %	Max %		0
res-ltng-max	1	1	maxlightresist																											+#% to Maximum Lightning Resist		Min %	Max %		0
res-cold	1	1	coldresist																											Cold Resist +#%		Min %	Max %		0
res-cold-max	1	1	maxcoldresist																											+#% to Maximum Cold Resist		Min %	Max %		0
res-pois	1	1	poisonresist																											Poison Resist +#%		Min %	Max %		0
res-pois-max	1	1	maxpoisonresist																											+#% to Maximum Poison Resist		Min %	Max %		0
res-all	1	1	fireresist			3	lightresist			3	coldresist			3	poisonresist															All Resistances +#		Min %	Max %		0
