*RuneName	Name	complete	firstLadderSeason	lastLadderSeason	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
Amity	Runeword43	1			New to Modv1.0	belt									Mal El	r23	r01					balance		24	24	sum-all		10	25	skill	Summon Mastery	3	5	mana%		10	10	cast		15	15	vit		10	10					0
Ancients' Pledge	Runeword1	1			109	shld									Ral Ort Tal	r08	r09	r07				res-cold		20	20	res-all		13	13	ac%		50	50	dmg-to-mana		10	10	dmg%		30	30									0
Ancients' Pledge	Runeword1	1			109	shld									Ral Ort Tal	jew	r08	r09	r07			res-cold		20	20	res-all		13	13	ac%		50	50	dmg-to-mana		10	10	dmg%		30	30									0
Armageddon	Runeword2	1			New to Modv1.0	boot									Shael Cham Hel	r13	r32	r15				gethit-skill	CTC_Blaze	5	25	hit-skill	Overheat	1	5	res-fire		30	55	move		20	20	ac%		120	210	balance		24	24	crush		5	10	0
Authority	Runeword3	1			New to Modv1.0	glov									Tir Ort	r03	r09					balance		12	12	swing		10	10	lifesteal		1	5	fire-thorns		4	4	ac%		15	50									0
Authority	Runeword3	1			New to Modv1.0	glov									Tir Ort	jew	r03	r09				balance		12	12	swing		10	10	lifesteal		1	5	fire-thorns		4	4	ac%		15	50									0
Beast	Runeword4	1			110	axe	scep	hamm							Ber Tir Um Mal Lum	r30	r03	r22	r23	r17		swing		40	40	aura	Fanaticism	9	9	dmg%		240	270	str		25	40	charged	Grizzly	5	13	oskill	BeastBear	3	3	oskill	Frost Bite	3	3	0
Beast	Runeword4	1			110	axe	scep	hamm							Ber Tir Um Mal Lum	jew	r30	r03	r22	r23	r17	swing		40	40	aura	Fanaticism	9	9	dmg%		240	270	str		25	40	charged	Grizzly	5	13	oskill	BeastBear	3	3	oskill	Frost Bite	3	3	0
Beauty	Runeword5	1			New to Modv1.0	belt									Lem Gul	r20	r25					aura	Sanctuary_I	1	12	gethit-skill	CTC_ShiverArmor	5	5	ac%		75	150	balance		14	24	caststat		20	20	ext-missile		1	3					0
Black	Runeword6	1			109	club	hamm	mace							Thul Io Nef	r10	r16	r04				crush		20	20	dmg%		120	120	swing		15	15	red-mag		2	2	att		200	200	charged	Corpse Explosion	12	4					0
Black	Runeword6	1			109	club	hamm	mace							Thul Io Nef	jew	r10	r16	r04			crush		20	20	dmg%		120	120	swing		15	15	red-mag		2	2	att		200	200	charged	Corpse Explosion	12	4					0
Black	Runeword6	1			109	club	hamm	mace							Thul Io Nef	jew	jew	r10	r16	r04		crush		20	20	dmg%		120	120	swing		15	15	red-mag		2	2	att		200	200	charged	Corpse Explosion	12	4					0
Black	Runeword6	1			109	club	hamm	mace							Thul Io Nef	jew	jew	jew	r10	r16	r04	crush		20	20	dmg%		120	120	swing		15	15	red-mag		2	2	att		200	200	charged	Corpse Explosion	12	4					0
Blood	Runeword7	1			New to Modv1.0	glov									Ko Fal	r18	r19					openwounds		1	5	heal-perhit		4	10	glovestat		20	25	regen		4	9	hit-skill	CTC_LifeTap	2	2									0
Blood	Runeword7	1			New to Modv1.0	glov									Ko Fal	jew	r18	r19				openwounds		1	5	heal-perhit		4	10	glovestat		20	25	regen		4	9	hit-skill	CTC_LifeTap	2	2									0
Bone	Runeword8	1			111	tors									Sol Um Um	r12	r22	r22				hit-skill	CTC_BoneSpear	15	10	nec		2	2	mana		100	150	extra-mag		10	15													0
Bone	Runeword8	1			111	tors									Sol Um Um	jew	r12	r22	r22			hit-skill	CTC_BoneSpear	15	10	nec		2	2	mana		100	150	extra-mag		10	15													0
Bramble	Runeword9	1			110	tors									Ral Ohm Sur Eth	r08	r27	r29	r05			balance		50	50	ac		300	300	aura	Thorns	15	21	heal-kill		13	13	extra-pois		25	50	res-pois		100	100	charged	CHARGE_Spirit_of_Barbs	33	13	0
Brand	Runeword10	1			Previously Ladder Only	miss									Jah Lo Mal Gul	r31	r28	r23	r25			dmg%		260	340	dmg-demon		280	330	hit-skill	CTC_BoneSpear	100	18	gethit-skill	CTC_TearDown	35	14	noheal		1	1	explosivearrow		15	15					0
Brand	Runeword10	1			Previously Ladder Only	miss									Jah Lo Mal Gul	jew	r31	r28	r23	r25		dmg%		260	340	dmg-demon		280	330	hit-skill	CTC_BoneSpear	100	18	gethit-skill	CTC_TearDown	35	14	noheal		1	1	explosivearrow		15	15					0
Brand	Runeword10	1			Previously Ladder Only	miss									Jah Lo Mal Gul	jew	jew	r31	r28	r23	r25	dmg%		260	340	dmg-demon		280	330	hit-skill	CTC_BoneSpear	100	18	gethit-skill	CTC_TearDown	35	14	noheal		1	1	explosivearrow		15	15					0
Breath of the Dying	Runeword11	1			110	weap									Vex Hel El Eld Zod Eth	r26	r15	r01	r02	r33	r05	swing		60	60	dmg-undead		125	125	lifesteal		12	15	noheal		1	1	kill-skill	CTC_PoisonNova	50	20	dmg%		350	400	all-stats		30	30	0
Broken Promise	Runeword12	1			New to Modv1.0	glov									El Tir	r01	r03					glovestat		10	15	dmg%		5	15	crush		3	3	hp		5	15	mana		0	15									0
Broken Promise	Runeword12	1			New to Modv1.0	glov									El Tir	jew	r01	r03				glovestat		10	15	dmg%		5	15	crush		3	3	hp		5	15	mana		0	15									0
Call to Arms	Runeword13	1			110	weap									Amn Ral Mal Ist Ohm	r11	r08	r23	r24	r27		swing		40	40	dmg%		200	240	allskills		1	1	oskill	War Stance	2	6	oskill	Shout	1	6	oskill	Battle Cry	1	4	regen		12	12	0
Call to Arms	Runeword13	1			110	weap									Amn Ral Mal Ist Ohm	jew	r11	r08	r23	r24	r27	swing		40	40	dmg%		200	240	allskills		1	1	oskill	War Stance	2	6	oskill	Shout	1	6	oskill	Battle Cry	1	4	regen		12	12	0
Chains of Honor	Runeword14	1			110	tors									Dol Um Ber Ist	r14	r22	r30	r24			res-all		50	50	ac%		70	70	dmg-demon		200	200	dmg-undead		100	100	lifesteal		8	8	allskills		2	2	str		20	20	0
Chance	Runeword15	1			New to Modv1.0	boot									Ist Shael Um	r24	r13	r22				mag%		5	15	gold%		60	200	move		30	30	all-stats%		1	5													0
Chaos	Runeword16	1			110	h2h	h2h2	kata							Fal Ohm Um	r19	r27	r22				demon-heal		15	15	dmg%		240	290	dmg-mag		216	471	oskill	Whirlwind	1	1	swing		35	35	hit-skill	CTC_FrozenOrb	9	11	hit-skill	CTC_ChargedBolt	11	9	0
Chaos	Runeword16	1			110	h2h	h2h2	kata							Fal Ohm Um	jew	r19	r27	r22			demon-heal		15	15	dmg%		240	290	dmg-mag		216	471	oskill	Whirlwind	1	1	swing		35	35	hit-skill	CTC_FrozenOrb	9	11	hit-skill	CTC_ChargedBolt	11	9	0
Crescent Moon	Runeword17	1			110	axe	swor	pole							Shael Um Tir	r13	r22	r03				pierce-ltng		35	35	ignore-ac		1	1	dmg%		180	220	abs-mag		9	11	charged	Fenris	30	18	hit-skill	CTC_StaticField	7	13	hit-skill	CTC_ChainLightning	10	17	0
Crescent Moon	Runeword17	1			110	axe	swor	pole							Shael Um Tir	jew	r13	r22	r03			pierce-ltng		35	35	ignore-ac		1	1	dmg%		180	220	abs-mag		9	11	charged	Fenris	30	18	hit-skill	CTC_StaticField	7	13	hit-skill	CTC_ChainLightning	10	17	0
Crescent Moon	Runeword17	1			110	axe	swor	pole							Shael Um Tir	jew	jew	r13	r22	r03		pierce-ltng		35	35	ignore-ac		1	1	dmg%		180	220	abs-mag		9	11	charged	Fenris	30	18	hit-skill	CTC_StaticField	7	13	hit-skill	CTC_ChainLightning	10	17	0
Crescent Moon	Runeword17	1			110	axe	swor	pole							Shael Um Tir	jew	jew	jew	r13	r22	r03	pierce-ltng		35	35	ignore-ac		1	1	dmg%		180	220	abs-mag		9	11	charged	Fenris	30	18	hit-skill	CTC_StaticField	7	13	hit-skill	CTC_ChainLightning	10	17	0
Darkness	Runeword18	1			New to Modv1.0	belt									Hel El	r15	r01					balance		24	24	ac		40	75	oskill	Cloak of Shadows	5	5	stupidity		2	2	res-mag		10	10									0
Daylight	Runeword19	1			New to Modv1.0	glov	boot								Eld Tir	r02	r03					light		5	5	res-fire		10	15	res-ltng		10	15	ac		10	15													0
Daylight	Runeword19	1			New to Modv1.0	glov	boot								Eld Tir	jew	r02	r03				light		5	5	res-fire		10	15	res-ltng		10	15	ac		10	15													0
