skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	item proc text	item proc descline count	*eol
attack	0	0	0	0	2		skAttack	sdAttack	sdAttack	skAttack	1												2																																																																																																0
kick	0	0	0	-1	0		skKick	sdKick	sdKick	skKick	2																																																																																																												0
throw	0	0	0	0	6		skThrow	sdThrow	sdThrow	skThrow	3												3																																																																																																0
unsummon	0	0	0	0	4		skUnsummon	sdUnsummon	sdUnsummon	skUnsummon																																																																																																													0
left hand throw	0	0	0	0	12		skLeftThrow	sdLeftThrow	sdLeftThrow	skLeftThrow	4												4																																																																																																0
left hand swing	0	0	0	-1	10		skLeftSwing	sdLeftSwing	sdLeftSwing	skLeftSwing																																																																																																													0
magic arrow	1	1	1	1	0		skMagicArrow	sdMagicArrow	sdMagicArrow	skMagicArrow	5												1				74	StrSkillDamageFlat		pnma		74	StrSkill22		toht		74	Convphy2elemalt		50+(lvl-1)		74	StrManaPerHit		(blvl<10)?(ln12):(ln12+10)																																					40	MasteryBonusNS		7		18	StrMastMagicArrow																															0
prismatic arrow	1	4	1	1	2		skPrismaticArrow	sdPrismaticArrow	sdPrismaticArrow	skPrismaticArrow	7		enma*2										1				36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrElementalDamage		enma*3	exma	74	StrSkill22		toht																																					40	MasteryBonusNS		7		18	StrMastPrismaticArrow																															0
inner sight	2	1	1	2	4		skInnerSight	sdInnerSight	sdInnerSight	skInnerSight																	36	StrSkillDurationSingular	StrSkill20	len	25	74	ModStr5o		ast1		74	StrSkillReducePhysicalResImmunity		ast2																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	rng*2	3																40	MasteryBonusNS		7		18	StrMastInnerSight																															0
critical strike	2	1	3	2	6	11	skCriticalStrike	sdCriticalStrike	sdCriticalStrike	skCriticalStrike																	40	StrSkillOnlyBLvl	skCriticalStrike	8		74	StrCrushingBlow		pst2		74	CritChance		pst1		74	StrSkillNoConsumeChance		pst3																																					40	MasteryBonusNS		7		18	StrMastCriticalStrike																															0
jab	3	1	1	3	8	7	skJab	sdJab	sdJab	skJab	17	clc1											1				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		clc1		74	StrSkill22		toht		36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256						18	StrSkill61																								40	MasteryBonusNS		7		18	StrMastJab																															0
cold arrow	1	1	2	1	10		skColdArrow	sdColdArrow	sdColdArrow	skColdArrow	17	clc4											1				36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma	74	StrSkill22		toht		74	StrSkillDamagePercent		clc5		74	StrSkill9		clc1		74	WeapDamsk		50		74	StrSkillDamagePercent		clc4																	40	Sksyn	skColdArrow	2		76	Colddplev	skHailofArrows	par8		76	Damplev	skFreezingArrow	par7		18	StrSkillExtraMissile				40	MasteryBonus			7	18	StrMastColdArrow											0
multiple shot	1	2	1	1	12	1	skMultipleShot	sdMultipleShot	sdMultipleShot	skMultipleShot	7	clc5											1				36	StrSkill3		usmc	256	74	StrSkill9		clc1		75	StrSkill22		toht		74	StrSkillDamagePercent		clc4		74	StrSkillDamagePercent		clc5							74	WeapDamsk		100																						40	Sksyn	skMultipleShot	2		18	StrSkillExtraMissile				76	Damplev	skGuidedArrow	par4		40	MasteryBonus			7	18	StrMastMultipleShot																0
huntress haste	2	2	2	2	14		skHuntressHaste	sdHuntressHaste	sdHuntressHaste	skHuntressHaste																	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill89		ast1		74	StrSkill106		ast2		74	StrSkillAttackRating		ast3		74	StrSkillDefense		ast4							36	StrCooldown		(100*(ln12+125))/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25																					40	MasteryBonusNS		7		18	StrMastHuntressHaste																															0
recharge	3	1	2	3	16		skRecharge	sdRecharge	sdRecharge	skRecharge	5												1				75	StrSkill7		enma	exma	74	StrSkill22		ast2		74	StrManaPerHit		ast1		74	StrSkillLightRes		ast4		74	StrSkill106		ast5																																40	Sksyn	skRecharge	2		76	Ltngdplev	skThunderGWrath	par8		76	Ltngdplev	skLightningFury	par8		40	MasteryBonus			7	18	StrMastRecharge																0
poison point	3	2	1	3	18		skPoisonPoint	sdPoisonPoint	sdPoisonPoint	skPoisonPoint	23	ast1											1				36	StrSkill3		usmc	256	75	StrPoisonLenReductionRange		par2	min(lvl*par2,par5)	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	75	StrSkillDamagePercentRange		par3	par3 * (lvl/par7+par8)	75	StrPoisonMasteryRange		par1	(par1 * (lvl/par7+par8))+((blvl==20)?50:0)	36	StrSkillDurationSingular	StrSkill20	par4	25	74	StrSkill22		toht																	40	Sksyn	skPoisonPoint	2		76	Poisdplev	skPlagueJavelin	par8		40	MasteryBonus			7	18	StrMastPoisonPoint																					0
exploding arrow	1	2	3	1	20		skExplodingArrow	sdExplodingArrow	sdExplodingArrow	saExplodingArrow	6												1				36	StrSkill3		usmc	256	75	StrSkill5		enma	exma	74	StrSkill22		toht																																										40	Sksyn	skExplodingArrow	2		76	Firedplev	skStrafe	par8		40	MasteryBonus			7	18	StrMastExplodingArrow																					0
slow missiles	2	2	1	2	22		skSlowMissiles	sdSlowMissiles	sdSlowMissiles	skSlowMissiles																	74	StrSkillCtC		pst1		36	StrSkillDurationSingular	StrSkill20	200+lvl*25	25	36	StrSkillRadiusSingular	StrSkill18	(10+lvl)*2	3	74	StrSkill67		50+blvl*2		74	ModStr6a		pst2																																40	MasteryBonusNS		7		18	StrMastSlowMissile																															0
huntress focus	2	3	2	2	24		skHuntressFocus	sdHuntressFocus	sdHuntressFocus	skHuntressFocus																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkillDamagePercent		ast1		74	StrAttackRating		ast2		74	StrSkill89		ast3		74	StrSkill106		ast4		36	StrCooldown		(100*(ln12+125))/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25																					40	MasteryBonusNS		7		18	StrMastHuntressFocus																															0
impale	3	3	1	3	26		skImpale	sdImpale	sdImpale	skImpale	7	clc1											1				36	StrSkill3		usmc	256	74	StrSkill65		clc2		74	StrSkillDamagePercent		clc1		74	StrSkill22		toht		75	StrSkill39		enma	exma																															40	Sksyn	skImpale	2		76	Damplev	skJab	par2		76	Damplev	skFend	par2		76	Damplev	skPlagueJavelin	par2		76	Damplev	skLightningFury	par2		40	MasteryBonus			7	18	StrMastImpale1						0
thunder gods wrath	3	3	3	3	28		skThunderGWrath	sdThunderGWrath	sdThunderGWrath	saThunderGWrath	5													armageddonfire2			36	StrSkill3		usmc	256	75	StrSkillLightningDamageAveragePerSecond		m1eo*25*3*(mael+100)/100/256	m1ey*25*3*(mael+100)/100/256	75	StrSkill7		enma	exma	74	Moditemenresltngsk		ast1												36	StrSkillRadiusSingular	StrSkill18	rng*2	3	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrCooldown		(stat('Celestial_Aid'.accr)>=1)?0:((100*125)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))	25											40	Sksyn	skThunderGWrath	2		76	Secplev2	skRecharge	2		76	Ltngdplev	skChargedStrike	par8		76	Ltngdplev	skLightningStrike	par8		40	MasteryBonus			7	18	StrMastThunderGodsWrath											0
hail of arrows	1	3	2	1	30	2	skHailofArrows	sdHailofArrows	sdHailofArrows	saHailofArrows	5													arrowcenter			36	StrSkill3		usmc	256	75	StrSkill6		enma	exma																					36	StrSkillDurationSingular	StrSkill20	miss('arrowcenter'.rang)	25	74	WeapDamsk		50		36	StrCooldown		(stat('Celestial_Aid'.accr)>=1)?0:((100*20)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))	25											40	Sksyn	skHailofArrows	2		76	Colddplev	skColdArrow	par8		76	Colddplev	skFreezingArrow	par8		40	MasteryBonus			7	18	StrMastHailOfArrows																0
guided arrow	1	3	1	1	32		skGuidedArrow	sdGuidedArrow	sdGuidedArrow	skGuidedArrow	17	clc1	clc2														36	StrSkill3		(usmc<=1407)?1280:usmc	256	74	StrSkillDamagePercent		clc1		75	StrSkill39		enma	exma	74	WeapDamsk		100		74	StrSkill106		clc3		74	StrSkillDamageFlat		clc2		18	StrSkillAlwaysHits																								40	Sksyn	skGuidedArrow	2		76	Damplev	skMultipleShot	par7							40	MasteryBonus		7		18	StrMastGuidedArrow																0
penetrate	2	2	3	2	34		skPenetrate	sdPenetrate	sdPenetrate	skPenetrate																	74	StrSkill22		pst2		75	StrAttackRating		pst1		74	StrSkill88		ast1																																										40	MasteryBonusNS	skPenetrate	1		18	StrMastPenetrate																															0
charged strike	3	2	2	3	36		skChargedStrike	sdChargedStrike	sdChargedStrike	skChargedStrike	17																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	74	StrSkill72		clc1																																										40	Sksyn	skChargedStrike	2		76	Ltngdplev	skRecharge	par8		76	Ltngdplev	skThunderGWrath	par8		76	Ltngdplev	skLightningFury	par8		75	StrSkillExtraMissileL		1	5	40	MasteryBonus			7	18	StrMastChargedStrike						0
plague javelin	3	2	3	3	38		skPlagueJavelin	sdPlagueJavelin	sdPlagueJavelin	skPlagueJavelin	22												1				36	StrSkill3		usmc	256	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht												36	StrCooldown		(100*75)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25																					40	Sksyn	skPlagueJavelin	2		76	Poisdplev	skPoisonPoint	par8		40	MasteryBonus			7	18	StrMastPlagueJavelin																					0
strafe	1	1	3	1	40		skStrafe	sdStrafe	sdStrafe	skStrafe	17	clc2											1				36	StrSkill3		usmc	256	74	StrSkill86		clc1		75	StrSkill5		enma	exma	75	StrSkill22		toht		74	StrSkillDamagePercent		clc2							74	WeapDamsk		100																						40	Sksyn	skStrafe	2		76	Firedplev	skCurtainOfFire	par8		76	Firedplev	skExplodingArrow	par8		18	StrSkillExtraMissile				40	MasteryBonus			7	18	StrMastStrafe											0
curtain of fire	1	3	3	1	42	3	skCurtainOfFire	sdCurtainOfFire	sdCurtainOfFire	skCurtainOfFire	6												1	curtainfire			36	StrSkill3		usmc	256	74	StrSkill22		toht		36	StrSkillFireDurationSingular	StrSkill82	miss('curtainfire'.rang)	25	75	StrSkillFireDamageAveragePerSecond		m1eo*25*3*(mael+100)/100/256	m1ey*25*3*(mael+100)/100/256	75	StrSkillImpactDamage		pnma	pxma	75	StrSkillMeteorFire		enma	exma	36	StrCooldown		(100*75)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25																					40	Sksyn	skCurtainOfFire	2		76	AFDImm	skStrafe	3		76	Firedplev	skExplodingArrow	par8		40	MasteryBonus			7	18	StrMastCurtainOfFire																0
decoy	2	3	1	2	44		skDecoy	sdDecoy	sdDecoy	skDecoy																	36	StrSkill3		(usmc<=3327)?3072:usmc	256	36	StrSkillDurationSingular	StrSkill20	clc2	25	74	StrSkillLifePercent		clc1		75	StrSkill39		enma	exma											36	StrCooldown		(100*25)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25																					40	Sksyn	skDecoy	2		75	StrSkillExtraSummonL		3	2	40	MasteryBonus		7		18	StrMastDecoy																					0
evasive tactics	2	1	2	2	46		skEvasiveTactics	sdEvasiveTactics	sdEvasiveTactics	skEvasiveTactics																	74	StrSkillEvade		pst3		74	StrSkillAvoid		pst2		74	StrSkillDodge		pst1		18	StrSkillChance																																							40	MasteryBonusNS		7		18	StrMastEvasiveTactics																															0
fend	3	4	1	3	48		skFend	sdFend	sdFend	skFend	7	clc2											1				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		clc2		74	StrSkill22		toht		75	StrSkill39		enma	exma																																				40	Sksyn	skFend	2		76	Damplev	skImpale	par8		76	Damplev	skJab	par8		76	Damplev	skLightningFury	par8		18	StrSkillExtraAttack				40	MasteryBonus			7	18	StrMastFend						0
freezing arrow	1	2	2	1	50		skFreezingArrow	sdFreezingArrow	sdFreezingArrow	saFreezingArrow	6												1				36	StrSkill3		usmc	256	36	StrSkillFreezeLengthSingular	StrSkill62	edln	25	75	StrSkill6		enma	exma	74	StrSkill22		toht												36	StrSkillRadiusSingular	StrSkill18	rng*2	3																					40	Sksyn	skFreezingArrow	2		76	Colddplev	skColdArrow	par8		76	FrezLenplev	skHailofArrows	par7		40	MasteryBonus			7	18	StrMastFreezingArrow																0
valkyrie	2	4	1	2	52		skValkyrie	sdValkyrie	sdValkyrie	skValkyrie																	36	StrSkill3		usmc	256	74	StrSkill21		pst1		74	StrSkillDamagePercent		pst5		74	StrSkill22		pst2		13	StrSkill42		clc1		74	StrSkillMoveAndAttackRate		pst4		36	StrCooldown		(100*100)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25	74	ValkCount		pets																	40	Sksyn	skValkyrie	2		76	Hpplev	skDecoy	par8		76	AttRateplev	skPenetrate	40		75	StrSkillExtraSummon		1	5	18	skValkBonus				40	MasteryBonus			7	18	StrMastValkyrie						0
pierce	2	3	3	2	54	5	skPierce	sdPierce	sdPierce	skPierce																	74	StrSkill24		pst1		74	StrMastImmunityBreak		(blvl==10)?pst2:0																																															40	MasteryBonusNS	skPierce	1		18	StrMastPierce																															0
lightning strike	3	3	2	3	56		skLightningStrike	sdLightningStrike	sdLightningStrike	saLightningStrike	17																75	StrSkill7		enma	exma	74	StrSkill11		ln34																						36	StrSkill3		usmc	256																					40	Sksyn	skLightningStrike	2		76	Ltngdplev	skRecharge	par8		76	Ltngdplev	skThunderGWrath	par8		76	Ltngdplev	skLightningFury	par8		18	StrSkillExtraTarget				40	MasteryBonus			7	18	StrMastLightningStrike						0
lightning fury	3	1	3	3	58		skLightningFury	sdLightningFury	sdLightningFury	skLightningFury	22																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma																					74	StrSkillReleasesBolts		clc1																						40	Sksyn	skLightningFury	2		76	Ltngdplev	skRecharge	par8		76	Ltngdplev	skLightningStrike	par8		74	StrSkillExtraMissile		8		40	MasteryBonus			7	18	StrMastLightningFury											0
firestorm	1	1	1	1	0		skFirestorm	sdFirestorm	sdFirestorm	skFirestorm	9																36	StrSkill3		usmc	256	75	StrSkillFireDamageAveragePerSecond		enms*25*3/256	exms*25*3/256																					74	StrSkillFlames		clc1																						40	Sksyn	skFirestorm	2		76	Firedplev	skFireBall	par8		76	Firedplev	skMeteor	par8		18	StrSkillExtraMissile				40	MasteryBonus		7		18	StrMastFirestorm											0
warmth	1	1	3	1	2		skWarmth	sdWarmth	sdWarmth	skWarmth																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill88		ln12		74	StrFasterCast		"min(ln56,par7)"		74	ModStr2l		ast3							36	StrCooldown		(100*(ln34+125))/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25																					40	MasteryBonusNS		7		18	StrMastWarmth																															0
rolling thunder	2	1	1	2	4		skRollingThunder	sdRollingThunder	sdRollingThunder	saRollingThunder	5																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	74	StrSkill27		clc1		36	StrSkillStunLengthSingular	StrSkill48	clc4	25																																				40	Sksyn	skRollingThunder	2		76	Ltngdplev	skChainLightning	par8		18	StrSkillExtraMissile				40	MasteryBonus		7		18	StrMastRollingThunder																0
