skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Attack	0		attack	1	1																																																																																																							1	1																			0		both		weap			tpot							A1	A1	A1				1		1	1								1															1									1						1	1					0	8	0	0	1	1				1	0	1																																								1								8	128																																					0
Kick	1		kick	2	2																																																																																																							0	0																			0		h2h	4											KK	KK	xx						1	1							1																1									1						0	0					0	8	0	0		0																																														1							1	8																																						0
Throw	2		throw	65	3																																																																																																							2	2																			0		rng		thro										TH	TH	xx				1																										1									1						1	1					0	8	0	0	1	1																																														1								8	128																																					0
Unsummon	3		unsummon	3	4																																																																																								1	necromancer_unsummon														3	0					corpseexplosion														0		rng												SC	SC	xx						1						1																		1									1						1	1					0	8	0	0	1	1																																														1								8																																						0
Left Hand Throw	4		left hand throw	65	5																																																																																																							2	2																			0		rng	1	thro										S4	S4	xx			1	1																										1									1						1	1					0	8	0	0	1	1																																														1								8																																						0
Left Hand Swing	5		left hand swing	1	1																																																																																																							4	1																			0		both	1	weap			tpot							S3	S3	S3			1	1		1	1																							1									1						0	0					0	8	0	0	1	0				1	0	1																																								1								8																																						0
Magic Arrow	6	ama	magic arrow		18										magicarrow									magregen		10		mana_per_hit	(blvl<10)?ln12:(ln12+10)																																																																																					magicarrow													1	0	1	rng		miss										A1	A1	xx				1											1															1	10								1						1	1					0	8	0	0	1	1																						3	Mana Per Hit	1	Mana Per Hit per Level																					1	10	9						8	128	1	2	3	4	5	6	1	2	3	4	5	6	stat('ex_attacks'.accr)*4																						5	20	0
Prismatic Arrow	7	ama	prismatic arrow	4	18										prismarrow									prism		10		firemindam	edmn	firemaxdam	edmx	lightmindam	edmn	lightmaxdam	edmx	magicmindam	edmn	magicmaxdam	edmx																																																																					11						prismarrow													1	6	1	rng		miss										A1	A1	xx				1											1															1	20								1						1	1					1	6	16	1	1	1																																				8	Damage synergy									1	20	9						8	128														cold	1	1	3	6	15	18	1	1	3	6	15	18	((blvl==20)?10:0)+(stat('ex_missiles'.accr)*2)	50	5	10					5	20	0
Inner Sight	8	ama	inner sight		6																		34179		innersight	ln34*(100+(stat('buff_length_modifier'.accr)))/100	"min(ln56,100)"	item_fractionaltargetac	ln12	damageresist	(blvl==10)?par8:0																																																															amazon_eyeofzeus											cast_innersight																						1	3		none												SC	SC	xx					4															1							amazon_eyeofzeus	cast_innersight		1	10								1						1	1					1	8	10	0	1	1																						10	Armor Reduction baseline	1	Armor Reduction per level	200	Duration baseline	100	Duration per level	12	Radius baseline	4	Radius per level			-20	Damage Resist Mastery									1								8																35	15	20	15	10	10															5	20	0
Critical Strike	9	ama	critical strike																																											criticalstrike			passive_critical_strike	(blvl<1)?14:((blvl!=10)?(((110 * blvl) * (par2 - par1)) / (100 * (blvl + 7)) + par1):50)	item_crushingblow	(blvl<1)?1((blvl!=10)?blvl:20)	passive_mastery_noconsume	"min(lvl*10,100)"																																																																									1	4		rng		jave	miss	spea										xx				1																										1	10								1						0	0					0	8	0	0	1	0							1															5	Min % Chance	74	(50)Max % Chance																					1								8																																				5	20	0
Jab	10	ama	jab	5	7																																																																																										amazon_jab_1				weapon_1ht_1	weapon_2ht_1								12	16																		1	3		h2h		jave	pole	spea								SQ	A1	xx	1		1	1		1	1								1															1	20								1						1	1					1	6	8	1		1										(ln34+(skill('Fend'.blvl)+skill('Impale'.blvl)+skill('Plague Javelin'.blvl)+skill('Lightning Fury'.blvl))*par8+((blvl==20)?150:0))+(stat('ex_attacks'.accr)*10)	Damage %					0	% Damage Dealt as Elemental (Used only if there is an Etype)									0	Damage % baseline	5	Damage % per level					5	Damage Synergy	20	Damage synergy									1	10	9						1	64														pois	15	15	21	24	27	30	36	15	21	24	27	30	stat('ex_missiles'.accr)*2	100	10	10	10				5	20	0
Cold Arrow	11	ama	cold arrow	4	8													coldarrow	coldarrow																																																																																									11	17						coldarrow	coldarrow											1	4	1	rng		miss										A1	A1	xx				1											1															1	20								1						1	1					1	5	28	1	1	1										((lvl<5)?1:(lvl<20)?3:5)+stat('ex_missiles'.accr)	# of Missiles created	par3	Missile Activation Frame	((lvl<5)?1:(lvl<20)?3:5)+stat('ex_missiles'.accr)	# of missiles that can trigger item modifier events			(skill('Freezing Arrow'.blvl) * par7)+(stat('ex_attacks'.accr)*10)	Extra Danage Added			1	# of Missiles created baseline			1	Missile Activation Frame							5	Damage Synergy	12	Damage synergy									1	10	9						6	64														cold	6	4	5	8	16	42	8	4	5	9	17	44	(((skill('Hail of Arrows'.blvl)*par8)+((blvl==20)?25:0)*(100+(stat('ex_missiles'.accr)*2))/100)	200	25	15					5	20	0
Multiple Shot	12	ama	multiple shot	4	8													multipleshotarrow	multipleshotarrow																																																																																									11	17						multipleshotarrow	multipleshotarrow											1	7	1	rng		miss										A1	A1	xx				1											1															6	20								1						1	1					1	6	12	1	1	1										ln12+stat('ex_missiles'.accr)	# of Missiles created	par3	Missile Activation Frame	ln12+stat('ex_missiles'.accr)	# of missiles that can trigger item modifier events			(skill('Guided Arrow'.blvl) * par4)+(stat('ex_attacks'.accr)*10)	Extra Danage Added			2	# of Missiles created baseline	1	# of Missiles created per level	1	Missile Activation Frame	10	Physical Damage Synergy																	1	15	2	15+lvl*2+((blvl==20)?50:0)					8	128																																			5	20	0
