Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC(N)	TC(H)	TC Desecrated	TC(N) Desecrated	TC(H) Desecrated	*eol
Bishibosh	Bishibosh	fallenshaman1	0		8	9	0	2	2	1	0		11	11	11	Bishibosh	Bishibosh (N)	Bishibosh (H)				0
Bonebreak	Bonebreak	skeleton1	1		5	8	0	5	5	1	0		5	5	5	Bonebreak	Bonebreak (N)	Bonebreak (H)				0
Coldcrow	Coldcrow	cr_archer1	2		18	0	0	4	4	1	0		18	18	18	Coldcrow	Coldcrow (N)	Coldcrow (H)				0
Rakanishu	Rakanishu	fallen2	3		17	6	0	8	8	0	0	1	29	29	29	Rakanishu	Rakanishu (N)	Rakanishu (H)				0
Treehead WoodFist	Treehead WoodFist	brute2	4		5	6	0	2	2	1	0	1	4	4	4	Treehead	Treehead (N)	Treehead (H)				0
Griswold	Griswold	griswold	5		7	0	0	0	0	1	0	1	17	17	17	Griswold	Griswold (N)	Griswold (H)				0
The Countess	The Countess	corruptrogue3	6	countess	9	0	0	6	6	1	0		16	16	16	Countess	Countess (N)	Countess (H)				0
Pitspawn Fouldog	Pitspawn Fouldog	bighead2	7		7	18	0	4	4	1	0		31	31	31	Pitspawn	Pitspawn (N)	Pitspawn (H)				0
Flamespike the Crawler	Flamespike the Crawler	quillrat4	8		9	7	0	6	6	1	0		16	16	16	Flamespike	Flamespike (N)	Flamespike (H)				0
Boneash	Boneash	skmage_pois3	9		8	5	18	0	0	1	0		15	15	15	Boneash	Boneash (N)	Boneash (H)				0
Radament	Radament	radament	10		6	0	0	3	3	1	0		30	30	30	Radament	Radament (N)	Radament (H)				0
Bloodwitch the Wild	Bloodwitch the Wild	pantherwoman1	11		5	7	0	5	5	1	0		29	29	29	Bloodwitch	Bloodwitch (N)	Bloodwitch (H)				0
