Treasure Class	*MobType	*MobLvl	*Act	firstLadderSeason	lastLadderSeason	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ladder	noAlwaysSpawn	*eol
Gold								1						gld	1																								0
Blank								1						NaN	1																								0
Jewelry A								1						rin	40	amu	20	jew	10	cm3	2	cm2	2	cm1	2														0
Jewelry B								1						rin	40	amu	20	jew	10	cm3	2	cm2	2	cm1	2														0
Jewelry C								1						rin	40	amu	20	jew	10	cm3	2	cm2	2	cm1	2														0
Gem1								1						gcv	3	gcy	3	gcb	3	gcg	3	gcr	3	gcw	3	skc	3												0
Gem2								1						gfv	3	gfy	3	gfb	3	gfg	3	gfr	3	gfw	3	skf	3												0
Gem3								1						gsv	3	gsy	3	gsb	3	gsg	3	gsr	3	gsw	3	sku	3												0
Gem4								1						gzv	3	gly	3	glb	3	glg	3	glr	3	glw	3	skl	3												0
Gem5								1						gpv	3	gpy	3	gpb	3	gpg	3	gpr	3	gpw	3	skz	3												0
Gem								1						Gem5	3	Gem4	3	Gem3	3	Gem2	3	Gem1	3																0
TKey								1						Blank	2	pk1	1																						0
HKey								1						Blank	2	pk2	1																						0
DKey								1						Blank	2	pk3	1																						0
Codex 1								1	1024					Blank	19	a10	1	a11	1	a12	1	a13	1	a14	1	a15	1	a16	1										0
Codex 2								1	1024					Blank	19	a17	1	a18	1	a19	1	a20	1	a21	1	a22	1	a23	1										0
Codex 3								1	1024					Blank	19	a24	1	a25	1	a26	1	a27	1	a28	1	a29	1	a30	1										0
Codex 4								1	1024					Blank	19	a31	1	a32	1	a33	1	a34	1	a35	1	a36	1	a37	1										0
Codex 5								1	1024					Blank	19	a38	1	a39	1	a40	1	a41	1	a42	1	a43	1	a44	1										0
Codex 6								1	1024					Blank	19	a45	1	a46	1	a47	1	a48	1	a49	1	a50	1	a51	1										0
Codex 7								1	1024					Blank	19	a52	1	a53	1	a54	1	a55	1	a56	1	a57	1	a58	1										0
All Codexes								1	1024					Codex 1	1	Codex 2	1	Codex 3	1	Codex 4	1	Codex 5	1	Codex 6	1	Codex 7	1												0
TreasureChestT4								1						y09	10	y13	10	y17	3	y21	3	y25	1	y29	2														0
TreasureChestT3								1						y10	10	y14	10	y18	3	y22	3	y26	1	y30	2														0
TreasureChestT2								1						y11	10	y15	10	y19	3	y23	3	y27	1	y31	2														0
TreasureChestT1								1						y12	10	y16	10	y20	3	y24	3	y28	1	y32	2														0
sureChestsGroup								1						TreasureChestT4	10	TreasureChestT3	7	TreasureChestT3	4	TreasureChestT1	2																		0
Trial Scroll A								1						K01	1	K02	1	K03	1	K04	1	K05	1	K06	1	K07	1	K08	1	K09	1	K10	1						0
Trial Scroll B								1						K11	1	K12	1	K13	1	K14	1	K15	1	K16	1	K17	1	K18	1	K19	1	K20	1						0
Trial Scroll C								1						K21	1	K22	1	K23	1	K24	1	K25	1	K26	1	K27	1	K28	1	K29	1	K30	1						0
Trial Scroll D								1						K31	1	K32	1	K33	1	K34	1	K35	1	K36	1	K37	1	K38	1	K39	1	K40	1						0
Trial Scroll A2								1						K41	1	K42	1	K43	1	K44	1	K45	1	K46	1	K47	1	K48	1	K49	1	K50	1						0
Trial Scroll B2								1						K51	1	K52	1	K53	1	K54	1	K55	1	K56	1	K57	1	K58	1	K59	1	K60	1						0
Trial Scroll C2								1						K61	1	K62	1	K63	1	K64	1	K65	1	K66	1	K67	1	K68	1	K69	1	K70	1						0
Trial Scroll D2								1						K71	1	K72	1	K73	1	K74	1	K75	1	K76	1	K77	1	K78	1	K79	1	K80	1						0
Trials Scrolls								1						Trial Scroll A	50	Trial Scroll B	30	Trial Scroll C	15	Trial Scroll D	5	Trial Scroll A2	50	Trial Scroll B2	30	Trial Scroll C2	15	Trial Scroll D2	5										0
Trial Scroll Group A								1						Blank	8	Trial Scroll A	1	Trial Scroll A2	1																				0
Trial Scroll Group B								1						Blank	8	Trial Scroll B	1	Trial Scroll B2	1																				0
Trial Scroll Group C								1						Blank	8	Trial Scroll C	1	Trial Scroll C2	1																				0
Trial Scroll Group D								1						Blank	8	Trial Scroll D	1	Trial Scroll D2	1																				0
RMD Loot A								1						Blank	50	Rgx	1	y33	2	Z52	1	sureChestsGroup	1																0
ReckShard								1						Blank	19	RXs	1																						0
shards								1						Blank	1	S01	1																						0
Ammo								1	200	200	600	800		Blank	19	aqv	1																						0
Potions								1						Blank	500	hp5	5	mp5	5	rvs	2	rvl	1	hp1	8	mp1	8												0
Runes 1								1						r01	3	r02	2																						0
Runes 2								1						r03	3	r04	2	Runes 1	2																				0
Runes 3								1						r05	3	r06	2	Runes 2	4																				0
Runes 4								1						r07	3	r08	2	Runes 3	5																				0
Runes 5								1						r09	3	r10	2	Runes 4	9																				0
Runes 6								1						r11	3	r12	2	Runes 5	17																				0
Runes 7								1						r13	3	r14	2	Runes 6	34																				0
Runes 8								1						r15	3	r16	2	Runes 7	68																				0
Runes 9								1						r17	3	r18	2	Runes 8	135																				0
Runes 10								1						r19	3	r20	2	Runes 9	270																				0
Runes 11								1						r21	3	r22	2	Runes 10	350																				0
Runes 12								1						r23	3	r24	2	Runes 11	500																				0
Runes 13								1						r25	3	r26	2	Runes 12	750																				0
Runes 14								1						r27	3	r28	2	Runes 13	1628																				0
Runes 15								1						r29	3	r30	2	Runes 14	2206																				0
Runes 16								1						r31	3	r32	2	Runes 15	2968																				0
Runes 17								1						r33	1	Runes 16	3878																						0
Runes 18								1						r34	2	r35	1	Runes 17	4500																				0
Act 1 Junk								1						Potions	8	gld,mul=1536	2																						0
Act 2 Junk								1						Act 1 Junk	2	Potions	8	gld,mul=1536	2																				0
Act 3 Junk								1						Act 2 Junk	2	Potions	8	gld,mul=1536	2																				0
Act 4 Junk								1						Act 3 Junk	2	Potions	8	gld,mul=1536	2																				0
Act 5 Junk								1						Act 4 Junk	2	Potions	8	gld,mul=1536	2																				0
Act 1 (N) Junk								1						Act 5 Junk	2	Potions	8	gld,mul=1536	2																				0
Act 2 (N) Junk								1						Act 5 Junk	2	Potions	8	gld,mul=1536	2																				0
Act 3 (N) Junk								1						Act 5 Junk	2	Potions	8	gld,mul=1536	2																				0
Act 4 (N) Junk								1						Act 5 Junk	2	Potions	8	gld,mul=1536	2																				0
Act 5 (N) Junk								1						Act 5 Junk	2	Potions	8	gld,mul=1536	2																				0
Act 1 (H) Junk								1						Act 5 Junk	2	Potions	8	gld,mul=1536	2																				0
Act 2 (H) Junk								1						Act 5 Junk	2	Potions	8	gld,mul=1536	2																				0
Act 3 (H) Junk								1						Act 5 Junk	2	Potions	8	gld,mul=1536	2																				0
Act 4 (H) Junk								1						Act 5 Junk	2	Potions	8	gld,mul=1536	2																				0
Act 5 (H) Junk								1						Act 5 Junk	2	Potions	8	gld,mul=1536	2																				0
Act 1 Equip A						1	0	1						weap3	7	armo3	7	Ammo	1																				0
Act 1 Equip B						1	5	1						weap3	3	armo3	3	weap6	7	armo6	7	Ammo	4																0
Act 1 Equip C						1	9	1						weap3	2	armo3	1	weap6	6	armo6	3	weap9	14	armo9	7	weap12	2	armo12	1	Ammo	3								0
Act 2 Equip A						1	12	1						weap6	2	armo6	1	weap9	6	armo9	3	weap12	14	armo12	7	weap15	2	armo15	1	Act 1 Equip C	30	Ammo	4	36	66	0.4545			0
