index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Amulet of the Viper	0	0	1			1	1	0	0	vip	Amulet		5	5000	lgry			D2R_Jank				mana		10	10	res-pois		25	25	hp		10	10															0	0																						0
Staff of Kings	1	0	1			1	1	0	0	msf	Staff		5	5000	dgry			D2R_Jank				res-all		10	10	swing		50	50																			0	0																						0
Horadric Staff	2	0	1			1	1	0	0	hst	Staff		5	5000	blac			D2R_Jank				mana		10	10	res-pois		25	25	hp		10	10	res-all		10	10	swing		50	50							0	0																						0
Hell Forge Hammer	3	0	1			1	1	0	0	hfh	Hammer		5	5000	cred			D2R_Jank				fire-min		5	5	fire-max		20	20	res-fire		40	40	ac		35	35											0	0																						0
KhalimFlail	4	0	1			1	1	0	0	qf1	Flail		5	5000	dblu			D2R_Jank				ltng-min		1	1	ltng-max		20	20	swing		50	50	att		40	40											0	0																						0
SuperKhalimFlail	5	0	1			1	1	0	0	qf2	Flail		5	5000	dblu			D2R_Jank				ltng-min		1	1	ltng-max		40	40	swing		50	50	att		40	40	manasteal		6	6	lifesteal		6	6			0	0																						0
The Gnasher	6	0	1			1	1	7	3	hax	Hand Axe		5	5000	dyel			D2R_Jank				str		8	8	openwounds		25	25	crush		20	20	dmg%		60	70	addxp		2	5	splash	Splash	100	1																					oskill	CharmSkill	1	1		0
Deathspade	7	0	1			1	1	1	5	axe	Axe		5	5000	dgld			D2R_Jank				stupidity		1	1	dmg-min		8	8	att%		15	15	mana-kill		4	4	dmg%		60	70	addxp		2	5																					oskill	CharmSkill	1	1		0
Bladebone	8	0	1			1	1	20	15	2ax	Double Axe		5	5000	lgry	lgry		D2R_Jank				dmg-undead		100	100	att-undead		40	40	swing		20	20	ac		20	20	fire-min		8	8	fire-max		12	12	dmg%		30	50	addxp		2	5													oskill	CharmSkill	1	1		0
Skull Splitter	9	0	1			1	1	28	21	mpi	Sickle (necro)		5	5000	lgrn			D2R_Jank				stupidity		2	2	regen-mana		20	20	ltng-min		1	1	ltng-max		12	15	att		50	100	dmg%		60	100	openwounds		15	15	addxp		2	5													oskill	CharmSkill	1	1		0
